Exact Age		probability a	lives b	expectancy	probability aa	lives bb	eexpectancy	Cohort multiplier	Effective cohort size	Effective cohort size, male	Effective cohort size, female	Effective expected deaths	Effective expected deaths, male	Effective expected deaths, female	Total living	Avg Mortality Rate from SSN Data		Expected mortality rate, using 2010 mortality numbers and 2013 cohort sizes	Change from 2010 to 2013	Cohort Change	Small Cohort Death Rate	Small Cohort Death Rate, males, 2010 data	Small Cohort Death Rate, females, 2010 data	male cohort 2010	female cohort 2010	M Big Cohort Size	F Big Cohort Size	M Big Cohort Cum Deaths		M Big Cohort Death Rate				Big Cohort Death Rate	Big Cohort Death Rate, males, 2010 data	Big Cohort Death Rate, females, 2010 data	big male cohort 2010	big female cohort 2010	Death Rate Multiplier	M Death Rate, Adjusted	F Death Rate, Adjusted	M Death Rate Multiplier vs. Cohort	F Death Rate Multiplier vs. Cohort	M Death vs Big Cohort	F Death vs Big Cohort	Suicide Rate, Raw (per 100,000)	Cerebrovascular, Male (Raw)	Cerebrovascular, Female (Raw)	Cerebrovascular, Male, Adj	Cerebrovascular, Female, Adj	Drug Overdose Rates, Male, Raw	Drug Overdose Rates, Female, Raw	Cardiovascular, Raw								
0	0	0.006569	100000	76.18	0.005513	100000	80.95	1	100000	100000	100000	605.32496	656.9	551.3	100000	0.006053	0.005947	0.005947	0.982448	0.982448	0.005947	0.006569	0.005513	0.006569	0.005513	100000	100000	645.3698	541.6233	0.006454	0.005416	0.006454	0.005416	0.005947	80.95	100000	80.95	100000	0.982447511	0.006453698	0.0054162	1	1	1	1		3	2.3	3	2.3	0.2	0.2	0.4								4000000
1	between 1 and 4	0.000444	99343.1	75.69	0.000382	99448.7	80.39	1	99448.7	99343.1	99448.7	41.11985	44.108336	37.989403	99394.68					0.999407	0.000256			0.000283536	0.000227	497159.8	497621	44.08217	37.96686			0.000226	0.000181	0.000227			6.44E-10	3903.283	0.99940667	0.000443737	0.0003818	1.5659371	1.6807742	1.960221	2.1034819		0.3	0	0.5880663	0	0.2	0.2	0.4								4000000
2	between 1 and 4	0.000291	99298.992	74.72	0.000218	99410.711	79.42	1	99410.711	99298.992	99410.711	25.367575	28.896007	21.671535	99353.56					0.999407	0.000256			0.000283536	0.000227	497159.8	497621	72.96103	59.62554			0.000226	0.000181	0.000227			6.44E-10	3903.283	0.99940667	0.000290827	0.0002179	1.0263236	0.9591853	1.2847394	1.2004163		0.3	0	0.38542182	0	0.2	0.2	0.4								4000000
3	between 1 and 4	0.000226	99270.096	73.74	0.000166	99389.039	78.44	1	99389.039	99270.096	99389.039	19.535674	22.435042	16.49858	99328.19					0.999407	0.000256			0.000283536	0.000227	497159.8	497621	95.38276	76.11433			0.000226	0.000181	0.000227			6.44E-10	3903.283	0.99940667	0.000225866	0.0001659	0.7970761	0.7303888	0.9977701	0.9140785		0.3	0	0.29933103	0	0.2	0.2	0.4								4000000
4	between 1 and 4	0.000173	99247.661	72.76	0.000143	99372.54	77.45	1	99372.54	99247.661	99372.54	15.72439	17.169845	14.210273	99308.65	0.000256	0.000255	0.000256	0.999407	0.999407	0.000256	0.000284	0.000227	0.000283536	0.000227	497159.8	497621	112.5424	90.31617	0.000226	0.000181	0.000226	0.000181	0.000227	6.44E-10	3903.283	6.44E-10	3903.283	0.99940667	0.000172897	0.0001429	0.6101512	0.6291904	0.7637798	0.7874291		0.3	0	0.22913394	0	0.2	0.2	0.4								4000000
5	between 5 and 14	0.000158	99230.491	71.77	0.000127	99358.33	76.47	1	99358.33	99230.491	99358.33	14.183958	15.678418	12.618508	99292.93					0.997637	0.00012			0.000132959	0.000107	1001788	1003193	15.64137	12.58869			0.000151	0.00011	0.000107			2.43E-10	8266.026	0.997636928	0.000157627	0.0001267	1.1883377	1.1820047	1.0465564	1.150207		0.2	0.2	0.20931128	0.2300414	0.2	0.2	0.4								4000000
6	between 5 and 14	0.000147	99214.812	70.78	0.000116	99345.712	75.48	1	99345.712	99214.812	99345.712	13.089841	14.584577	11.524103	99278.74					0.997637	0.00012			0.000132959	0.000107	1001788	1003193	30.19148	24.08556			0.000151	0.00011	0.000107			2.43E-10	8266.026	0.997636928	0.000146653	0.0001157	1.1056053	1.0796263	0.9736949	1.0505828		0.2	0.2	0.19473898	0.21011656	0.2	0.2	0.4								4000000
7	between 5 and 14	0.000136	99200.228	69.79	0.000106	99334.188	74.48	1	99334.188	99200.228	99334.188	12.044684	13.491231	10.529424	99265.65					0.997637	0.00012			0.000132959	0.000107	1001788	1003193	43.65083	34.5901			0.000151	0.00011	0.000107			2.43E-10	8266.026	0.997636928	0.000135679	0.0001057	1.022873	0.9865551	0.9008334	0.9600153		0.2	0.2	0.18016668	0.19200306	0.2	0.2	0.4								4000000
8	between 5 and 14	0.000121	99186.737	68.8	0.000098	99323.658	73.49	1.0345873	102758.99	102617.33	102758.99	11.270756	12.416697	10.070381	99253.61					0.997637	0.00012			0.000132959	0.000107	1001788	1003193	56.03819	44.63669			0.000151	0.00011	0.000107			2.43E-10	8266.026	0.997636928	0.000120714	9.78E-05	0.9100561	0.9120981	0.8014767	0.8875613		0.2	0.2	0.16029534	0.17751226	0.2	0.2	0.4							2005	4138349
9	between 5 and 14	0.000104	99174.735	67.81	0.000091	99313.924	72.5	1.028013	102096.01	101952.92	102096.01	9.9621434	10.603103	9.2907365	99242.72	0.000121	0.000118	0.00012	0.997637	0.997637	0.00012	0.000133	0.000107	0.000132959	0.000107	1001788	1003193	66.61623	53.90547			0.000151	0.00011	0.000107	2.43E-10	8266.026	2.43E-10	8266.026	0.997636928	0.000103754	9.08E-05	0.782197	0.8469483	0.6888726	0.8241641		0.2	0.2	0.13777452	0.16483282	0.2	0.2	0.4							2004	4112052
10	between 5 and 14	0.000092	99164.421	66.82	0.000086	99304.887	71.51	1.0224875	101538.01	101394.38	101538.01	9.0371895	9.328283	8.7322685	99233.02					0.996146	0.000142			0.000169332	0.000114	1001788	1003193	75.90856	62.60408			0.000151	0.00011	0.000114			2.86E-10	6989.438	0.996145753	9.16E-05	8.57E-05	0.5433107	0.7572396	0.6084764	0.7777161		0.2	0.2	0.12169528	0.15554322	0.2	0.2	0.4							2003	4089950
11	between 5 and 14	0.000097	99155.298	65.82	0.000089	99296.347	70.51	1.0054315	99835.675	99693.86	99835.675	9.2869449	9.6703044	8.8853751	99224.19					0.996146	0.000142			0.000169332	0.000114	1001788	1003193	85.5416	71.45521			0.000151	0.00011	0.000114			2.86E-10	6989.438	0.996145753	9.66E-05	8.87E-05	0.5728385	0.783655	0.6415458	0.8048458		0.2	0.2	0.12830916	0.16096916	0.2	0.2	0.4							2002	4021726
