"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","0","99","32518617","0.3"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","0","65","31095340","0.21"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","0","164","63613957","0.26"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","1","96","32352500","0.3"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","1","92","30971163","0.3"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","1","188","63323663","0.3"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","2","158","32289213","0.49"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","2","95","30896943","0.31"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","2","253","63186156","0.4"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","3","213","32325183","0.66"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","3","102","30941863","0.33"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","3","315","63267046","0.5"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","4","175","32498209","0.54"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","4","103","31078304","0.33"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","4","278","63576513","0.44"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","5","140","32609023","0.43"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","5","100","31193045","0.32"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","5","240","63802068","0.38"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","6","111","32657701","0.34"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","6","102","31238823","0.33"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","6","213","63896524","0.33"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","7","127","32812699","0.39"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","7","79","31392042","0.25"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","7","206","64204741","0.32"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","8","139","32928622","0.42"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","8","88","31472039","0.28"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","8","227","64400661","0.35"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","9","157","33242098","0.47"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","9","79","31740774","0.25"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","9","236","64982872","0.36"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","10","164","33975800","0.48"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","10","74","32442140","0.23"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","10","238","66417940","0.36"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","11","268","33955977","0.79"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","11","104","32417953","0.32"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","11","372","66373930","0.56"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","12","455","34207562","1.33"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","12","126","32645793","0.39"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","12","581","66853355","0.87"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","13","848","34295502","2.47"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","13","210","32706432","0.64"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","13","1058","67001934","1.58"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","14","1564","34326507","4.56"
