"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","0","978","32518617","3.01"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","0","859","31095340","2.76"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","0","1837","63613957","2.89"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","1","942","32352500","2.91"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","1","788","30971163","2.54"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","1","1730","63323663","2.73"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","2","1014","32289213","3.14"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","2","811","30896943","2.62"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","2","1825","63186156","2.89"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","3","962","32325183","2.98"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","3","783","30941863","2.53"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","3","1745","63267046","2.76"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","4","930","32498209","2.86"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","4","756","31078304","2.43"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","4","1686","63576513","2.65"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","5","929","32609023","2.85"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","5","712","31193045","2.28"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","5","1641","63802068","2.57"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","6","883","32657701","2.7"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","6","707","31238823","2.26"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","6","1590","63896524","2.49"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","7","892","32812699","2.72"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","7","677","31392042","2.16"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","7","1569","64204741","2.44"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","8","925","32928622","2.81"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","8","663","31472039","2.11"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","8","1588","64400661","2.47"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","9","853","33242098","2.57"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","9","727","31740774","2.29"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","9","1580","64982872","2.43"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","10","856","33975800","2.52"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","10","652","32442140","2.01"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","10","1508","66417940","2.27"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","11","952","33955977","2.8"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","11","690","32417953","2.13"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","11","1642","66373930","2.47"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","12","1109","34207562","3.24"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","12","682","32645793","2.09"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","12","1791","66853355","2.68"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","13","1378","34295502","4.02"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","13","914","32706432","2.79"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","13","2292","67001934","3.42"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","14","2076","34326507","6.05"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","14","1381","32683159","4.23"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","14","3457","67009666","5.16"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","15","3145","34479514","9.12"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","15","2132","32764808","6.51"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","15","5277","67244322","7.85"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","16","6474","34764119","18.62"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","16","4193","32926605","12.73"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","16","10667","67690724","15.76"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","17","8721","34976511","24.93"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","17","4947","32967339","15.01"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","17","13668","67943850","20.12"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","18","12264","35218498","34.82"
