"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","0","95","32518617","0.29"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","0","67","31095340","0.22"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","0","162","63613957","0.25"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","1","104","32352500","0.32"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","1","91","30971163","0.29"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","1","195","63323663","0.31"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","2","103","32289213","0.32"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","2","82","30896943","0.27"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","2","185","63186156","0.29"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","3","92","32325183","0.28"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","3","73","30941863","0.24"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","3","165","63267046","0.26"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","4","69","32498209","0.21"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","4","44","31078304","0.14"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","4","113","63576513","0.18"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","5","48","32609023","0.15"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","5","21","31193045","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","5","69","63802068","0.11"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","6","48","32657701","0.15"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","6","24","31238823","0.08"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","6","72","63896524","0.11"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","7","30","32812699","0.09"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","7","22","31392042","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","7","52","64204741","0.08"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","8","38","32928622","0.12"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","8","18","31472039","0.06"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","8","56","64400661","0.09"
