Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Age in Years,Deaths,Population,Crude Rate
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,0,0,32518617,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,0,0,31095340,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,0,0,63613957,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,1,0,32352500,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,1,0,30971163,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,1,0,63323663,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,2,0,32289213,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,2,1,30896943,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,2,1,63186156,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,3,1,32325183,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,3,0,30941863,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,3,1,63267046,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,4,0,32498209,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,4,1,31078304,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,4,1,63576513,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,5,0,32609023,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,5,0,31193045,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,5,0,63802068,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,6,0,32657701,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,6,0,31238823,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,6,0,63896524,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,7,0,32812699,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,7,0,31392042,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,7,0,64204741,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,8,1,32928622,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,8,1,31472039,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,8,2,64400661,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,9,0,33242098,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,9,0,31740774,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,9,0,64982872,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,10,0,33975800,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,10,0,32442140,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,10,0,66417940,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,11,2,33955977,0.01
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,11,1,32417953,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,11,3,66373930,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,12,0,34207562,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,12,0,32645793,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,12,0,66853355,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,13,0,34295502,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,13,0,32706432,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,13,0,67001934,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,14,0,34326507,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,14,0,32683159,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,14,0,67009666,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,15,0,34479514,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,15,0,32764808,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,15,0,67244322,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,16,0,34764119,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,16,0,32926605,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,16,0,67690724,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,17,0,34976511,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,17,0,32967339,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,17,0,67943850,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,18,1,35218498,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,18,0,33255135,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,18,1,68473633,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,19,1,35451273,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,19,0,33579577,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,19,1,69030850,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,20,0,35175592,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,20,2,33370879,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,20,2,68546471,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,21,13,34914754,0.04
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,21,3,33233958,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,21,16,68148712,0.02
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,22,11,34507706,0.03
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,22,6,32950016,0.02
,All Races,United States,Both,All Ages,1999,2014,Terrorism,22,17,67457722,0.03
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,23,32,33990702,0.09
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,23,16,32623426,0.05
,All Races,United States,Both,All Ages,1999,2014,Terrorism,23,48,66614128,0.07
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,24,19,33572767,0.06
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,24,12,32415926,0.04
,All Races,United States,Both,All Ages,1999,2014,Terrorism,24,31,65988693,0.05
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,25,34,33228989,0.1
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,25,23,32287895,0.07
,All Races,United States,Both,All Ages,1999,2014,Terrorism,25,57,65516884,0.09
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,26,49,32624339,0.15
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,26,22,31966811,0.07
,All Races,United States,Both,All Ages,1999,2014,Terrorism,26,71,64591150,0.11
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,27,37,32591378,0.11
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,27,22,32129964,0.07
,All Races,United States,Both,All Ages,1999,2014,Terrorism,27,59,64721342,0.09
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,28,56,32530592,0.17
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,28,16,32084267,0.05
,All Races,United States,Both,All Ages,1999,2014,Terrorism,28,72,64614859,0.11
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,29,60,32439821,0.18
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,29,11,32018126,0.03
,All Races,United States,Both,All Ages,1999,2014,Terrorism,29,71,64457947,0.11
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,30,75,32862698,0.23
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,30,26,32337231,0.08
,All Races,United States,Both,All Ages,1999,2014,Terrorism,30,101,65199929,0.15
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,31,64,32317099,0.2
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,31,22,32038541,0.07
,All Races,United States,Both,All Ages,1999,2014,Terrorism,31,86,64355640,0.13
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,32,80,32566395,0.25
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,32,26,32362863,0.08
,All Races,United States,Both,All Ages,1999,2014,Terrorism,32,106,64929258,0.16
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,33,66,32439229,0.2
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,33,19,32324520,0.06
,All Races,United States,Both,All Ages,1999,2014,Terrorism,33,85,64763749,0.13
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,34,99,32625190,0.3
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,34,17,32556295,0.05
,All Races,United States,Both,All Ages,1999,2014,Terrorism,34,116,65181485,0.18
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,35,82,32953633,0.25
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,35,16,32893379,0.05
,All Races,United States,Both,All Ages,1999,2014,Terrorism,35,98,65847012,0.15
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,36,85,33019357,0.26
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,36,19,33146361,0.06
,All Races,United States,Both,All Ages,1999,2014,Terrorism,36,104,66165718,0.16
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,37,104,33279870,0.31
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,37,22,33499041,0.07
,All Races,United States,Both,All Ages,1999,2014,Terrorism,37,126,66778911,0.19
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,38,94,33570968,0.28
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,38,30,33860789,0.09
,All Races,United States,Both,All Ages,1999,2014,Terrorism,38,124,67431757,0.18
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,39,86,34031240,0.25
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,39,16,34372297,0.05
,All Races,United States,Both,All Ages,1999,2014,Terrorism,39,102,68403537,0.15
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,40,79,34362279,0.23
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,40,23,34754743,0.07
,All Races,United States,Both,All Ages,1999,2014,Terrorism,40,102,69117022,0.15
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,41,83,34564860,0.24
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,41,22,35037103,0.06
,All Races,United States,Both,All Ages,1999,2014,Terrorism,41,105,69601963,0.15
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,42,77,34932942,0.22
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,42,21,35414540,0.06
,All Races,United States,Both,All Ages,1999,2014,Terrorism,42,98,70347482,0.14
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,43,69,34952964,0.2
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,43,18,35544635,0.05
,All Races,United States,Both,All Ages,1999,2014,Terrorism,43,87,70497599,0.12
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,44,80,34813382,0.23
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,44,22,35463281,0.06
,All Races,United States,Both,All Ages,1999,2014,Terrorism,44,102,70276663,0.15
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,45,65,34689880,0.19
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,45,22,35431695,0.06
,All Races,United States,Both,All Ages,1999,2014,Terrorism,45,87,70121575,0.12
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,46,55,34495259,0.16
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,46,20,35311991,0.06
,All Races,United States,Both,All Ages,1999,2014,Terrorism,46,75,69807250,0.11
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,47,60,34460124,0.17
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,47,15,35353350,0.04
,All Races,United States,Both,All Ages,1999,2014,Terrorism,47,75,69813474,0.11
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,48,49,34100794,0.14
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,48,17,35107524,0.05
,All Races,United States,Both,All Ages,1999,2014,Terrorism,48,66,69208318,0.1
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,49,45,33906977,0.13
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,49,18,34993256,0.05
,All Races,United States,Both,All Ages,1999,2014,Terrorism,49,63,68900233,0.09
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,50,35,33416558,0.1
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,50,12,34622654,0.03
,All Races,United States,Both,All Ages,1999,2014,Terrorism,50,47,68039212,0.07
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,51,41,32914233,0.12
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,51,11,34178883,0.03
,All Races,United States,Both,All Ages,1999,2014,Terrorism,51,52,67093116,0.08
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,52,34,32516297,0.1
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,52,17,33875455,0.05
,All Races,United States,Both,All Ages,1999,2014,Terrorism,52,51,66391752,0.08
