"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","0","10","32518617","0.03"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","0","10","31095340","0.03"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","0","20","63613957","0.03"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","1","14","32352500","0.04"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","1","8","30971163","0.03"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","1","22","63323663","0.03"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","2","12","32289213","0.04"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","2","14","30896943","0.05"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","2","26","63186156","0.04"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","3","25","32325183","0.08"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","3","9","30941863","0.03"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","3","34","63267046","0.05"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","4","19","32498209","0.06"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","4","21","31078304","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","4","40","63576513","0.06"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","5","23","32609023","0.07"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","5","14","31193045","0.04"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","5","37","63802068","0.06"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","6","31","32657701","0.09"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","6","25","31238823","0.08"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","6","56","63896524","0.09"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","7","19","32812699","0.06"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","7","11","31392042","0.04"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","7","30","64204741","0.05"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","8","38","32928622","0.12"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","8","22","31472039","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","8","60","64400661","0.09"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","9","38","33242098","0.11"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","9","19","31740774","0.06"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","9","57","64982872","0.09"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","10","29","33975800","0.09"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","10","23","32442140","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","10","52","66417940","0.08"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","11","49","33955977","0.14"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","11","36","32417953","0.11"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","11","85","66373930","0.13"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","12","49","34207562","0.14"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","12","26","32645793","0.08"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","12","75","66853355","0.11"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","13","52","34295502","0.15"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","13","23","32706432","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","13","75","67001934","0.11"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","14","72","34326507","0.21"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","14","33","32683159","0.1"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","14","105","67009666","0.16"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","15","83","34479514","0.24"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","15","40","32764808","0.12"
